person_name,article_url,letter
"BANDLÉ Louis, Albert",spip.php?article149196&id_mot=10754,odette bandlé rue viarmes seugy viarmes seine oise poitier octobre petite dedette chérie arrêté depuis septembre puis enfin aujourd hui non écrire toutefois faire écrire compagnon cellule momentanément invalide bra droit viens demander possible envoyer colis retour courrier poids approximatif kg tant nomenclature vivres importe peu part tabac ni liquide emballage comme sais demanderai aussi bien vouloir joindre enveloppes timbrées adresse feuilles papiers lettre colis autorisés toutes semaines si possible si peux parviennent samedi colis vêtements si fois demande er chaque mois espère présente trouveras tous bonne santé surtout chéris bien raisonnables oublient jamais bons baisers amitiés tous toutes pense toto pourrait aider tout moins faire quelque chose colis petite chérie plus tendres baisers celui oublie sans cesse jour nuit pense poitier octobre petite odette chérie bien reçu lettre octobre étonnes lettre mette jours parvenir doi bien comprendre lettres vérifiées départ occasionne peu retard souffre effet bra droit fait puis écrire cela va beaucoup mieux commence servir bra attends impatience colis droit colis mois linge vivres kg chacun ci joint étiquettes faut absolument coller colis besoin argent avocat choisirai car cela ferait frais besoin tout argent élever petits heureux savoir jacqueline va pouvoir enfin suivre études demande tous petits bien travailler pensant papa prochain colis envoie gant toilette morceau bon savon bon moral cellule embrasse enfants reçois celui oublie plus tendres baisers colis idéal viande fromages dessert sucre chocolat gâteau confiture pain prochain colis envoie caleçon long
"BANNETEL Henri, Eugène, Auguste",spip.php?article15583&id_mot=10754,lettre écrite quelques jours avant exécution mont valérien décembre chers amis lettre voici dernière recevrez main quand recevez déjà appris mort voie journaux lettre envoyais a quelques jours parlais condition vie ennuyeuses supportables lesquelles vécu jusqu ici mot illisible parler situation administrative effet considérés comme otages comme tels allons être fusillés payer attentat terroriste anarchiste quelconque commis moment où attendais autorisation aller passer examen appelé autres internés être mi secret coin camp attendant être collés mur ligne illisible surtout telle sorte aussi calme devant mort maintenant écrire conscience absolument tranquille plaindre regrette seulement vie études médicales si passionnantes aussi ambiance joyeuse salle garde bientôt connaitrais secret peu enviable espérance mort derniers travaux physiologie serre cordialement main tous prie transmettre salut professeurs adieu henri bannetel
"BAR Francis, Paul, Clément",spip.php?article158432&id_mot=10754,dernière lettre nevers janvier petite femme chérie jugé décembre condamné peine mort demandé recours grâce a refusé doi être fusillé matin surtout forte courageuse tout recommande remarie dis fils arsène bien sage tâchez continuer faire marcher garage peut être dur quand gagne pain pourras mieux finir élever go enfin laisse libre choix si veux pourrais demander vivre mère pourriez entendre ensemble dis deux beau frères occupent affaire embêtée droits succession chance poupées plus tard donneront main plus triste avoir revus cependant bien voulu embrasser dernière fois dis a paul raisonnable ainsi a tonton mettent travail afin donner main puissiez finir élever toute cette petite famille feras rentrer argent quelques factures restent impayées verras livre client celles faites recommande également conserver maison garchizy afin plus tard puisses avoir pied terre cette maison appartient reste propriété loueras terres afin cela fasse petit revenu remercie tout fait pendant séjour prison bien fait faire misère veut surtout forte terrible choc songe avenir tiens soigne santé celle tous voudras bien avertir ménagement cette pauvre tante verra bien aussi avant mourir préviendras toute famille germaine solange paulette embrasseras bien laisses avant mourir souvenir homme a jamais fait mal personne avenir saura prouver victime cette affreuse guerre malheureusement tant autres recule devant mort saurai mourir français a rien reprocher enfin voudrais avant terminer dire souhaite tout monde malheur frère ur jean ainsi toute famille compte occupes toute famille vienne aide soutien celle ci connais bon ur remercie mille fois embrasse bien tendrement tous vôtres frère soeur abel aussi compte apporter toute protection ur famille connais également générosité remercie bien fois embrasse bien tendrement ainsi tous a pauvre maman victorine aimais tant sais vais faire peine pardonnez demande faire mieux venir aide ceux laisse chagrin peines connais bonne ferez devoir a adresse plus tendres baisers femme adorée veux encore fois dire être forte comme déjà dit remarie garde toujours souvenir coeur meurtrie reste fidèle a tradition commune laisse comme linge objet pardessus pantalon pull over paire chaussettes caleçon porte feuille diver affaire fera parvenir couverture demande quand guerre finie demander corp feras transporter garchizy voudras bien faire faire caveau place voudrais être bien mérité demande faire frais assez tant autres remercie beaucoup vais quitter dernière fois sans oublier dire courage embrasse fille chéries tous enfants adorés aimais tant voulu voir grandir triste mourir a femme adorée celle tant aimée adresse dernière fois plus tendres baisers mari a jamais oubliée embrasse tous dernière fois francis bar
"BARBIER René, Albert, Marcel",spip.php?article159871&id_mot=10754,bien chers pauvres parent heure fusillé beaucoup courage toutes dernières pensées pardonnez tout mal fais seulement accompli devoir français meurs bravement larmes toutes courageux là destin toute vie contrarié écrit devais mourir jeune toujours mi dessus tout ur peut être toujours su exprimer sentiment comme fallait sachez pendant terrible captivité viens endurer depuis trois mois ressenti toute force toute tristesse chère maman faut console pensant malgré terrible sort fusillés tombent sans pouvoir défendre meurs soldat courageux belle france puisse revivre jour fière fils pardonne cher papa pardon aussi enfant embrasse toujours robert odette adieu recevez plus tristes baisers marie pauvre tante marie reverrai plus aimé comme seconde maman jean frère chéri laisse suivre voie tracé oublie jamais sort accable treize mourir fièrement bons français tomberons champ honneur courage terrible depuis écrit mort fait peur songe tout malheur vient celui vais causer partie censurée depuis mois plus aucune résistance physique suite long martyre enduré nancy aussi peut sans rapide destin vie abrégée bien chers parent adieu recevez fils martyr derniers baisers courage courage trop souffert mourir jeune car vie encore assez souri regrette pardon pardon encore tout mal cause vive chère france rené
"BARBRY Roger, Désiré",spip.php?article149627&id_mot=10754,dernière lettre cher bon papa chère bonne maman bons frères ur écris aujourd hui dernière fois biens tristes circonstances prêtre vais longtemps comparaître devant dieu viens communier bon courage condamné er avril camarade ernest demandé recours grâce a accepté maintenant vais mourir cinq heures cet après midi très courageux camarade ernest aussi maintenant dis revoir très bon papa a toujours très bon remercie dieu avoir revoir bonne maman aussi toujours très bonne espère comme papa aussi reverra jour ciel dieu courage dis revoir bonne ur renée frère andré ur jacqueline frère pierre ur marie rose thérèse christiane filleule geneviève frère jean bonne petite soeur yvette gardera poupée souvenir revoir beau frère gustave enfants monique paulette yvonne revoir grand père parrain marraine tous oncles tantes cousin cousines enfin toute famille souhaite tous bonne vie heureuse courage bientôt laissé pardessus andré retourner neuf allez recevoir toutes affaire demande pardon toutes fautes pu commettre vie revoir bons frères ur surtout protégez bien papa maman car savez bons parent meilleurs monde souhaite tous vie heureuse prospère aime tous bien fort remercie dieu avoir si bons parent prierai beaucoup surtout frères ur faites attention papa maman termine cette lettre calvaire direz revoir amis sans oublier abbé dumez dira messe maintenant vais aller voir mère papa soeur oncle auguste cousin désiré copain henri germain enfin tout monde voilà tout revoir très bon papa bon courage revoir très bonne maman maigris plus surtout bon courage reverra jour revoir renée souhaite vie heureuse famille bon petit mari gustave revoir jacqueline revoir andré aime bien va bonne chance métier revoir pierre pourras avoir bottines football revoir marie rose thérèse christiane filleule geneviève peux faire cadeau ça fait rien revoir jean désobéis trop maman trop bonne revoir petite yvette fais bien prière conserve bien poupée enfin revoir tout monde aime tout temp aimés a bientôt bon papa bonne maman courage fils frère roger p surtout bon papa bonne maman courage dieu là protégera sûr merci tout fait merci beaucoup aime courage attention maman frères soeurs faites bien attention papa maman parce bons parent pouvez remercier dieu revoir bon courage aime tous lettre extraite site association amicale anciens service spéciaux défense nationale retranscrite dominique mazon
"BAROUX Paul, Jean, Victor",spip.php?article15743&id_mot=10754,dernière lettre chère mère cher albert chère petite paulette triste nouvelle apprendre aujourd hui treize heures venu chercher baraque cinq emmener camion allemands être fusillés plus cinq quatre autres camarades joint groupe après heure route arrêtés bois petit pavillon bord étang là écris doute douleur cela va causer saviez quel tempérament voyais peu tout destinée or cette destinée a voulu meure an si cela comme ça ç autre chose quand heure arrivée a rien faire faut savoir résigner persuadés beaucoup courage camarades allons mourir déjà vu comment passait cérémonie départ dernière fois camarades camp baraque restés aujourd hui six survivants quatre autres passent demande exige droit parler ainsi heure mort fassiez preuve beaucoup courage faut viviez venger tous morts ignorons motif cette fusillade a heure actuelle faut vivre plus jamais car plus tard morts venger pris comme otages pouvons rien malheureusement derniers passer plus ça ira mal plus mesures prises cela empêchera roue progrès tourner sacrifice vain autres connaîtront jours meilleurs sentiment avoir jamais fait mal personne idéal croyais bon plus ça va plus persuadé seule situation durable bien être humanité pourquoi ceux vont vivre doivent vivre espoir moment tant attendu connaissons lequel morts termine lettre répétant disais début vivez faut veux exige abandonnez douleur quitte toujours pensez dis embrasse bien fort tous trois dernière pensée mourrai digne vrai communiste a rien reprocher a foi avenir certain meilleur tous dernière fois bons baisers tous
"BAUCE Georges, Roland [dit Château]",spip.php?article147410&id_mot=10754,dernière lettre prison fresnes octobre chers parent lorsque recevrez cette lettre exécuté demande être tous courageux penser peu remets pleins pouvoirs frère andré veiller instruction tous petits frères ur ca où accident viendrait survenir mère a père espère saura acquitter cette tâche dévouement parent demande penser peu surtout surveiller éducation petits frères ur frère claude demande faire futur homme garçon grande intelligence pourvoir si cela désir poursuite études parler souvent car concerne puis rien regretter resté idéal toujours droit honnête jusqu bout tous courageux quittons pleins espoir avenir meilleur radieux certitude avoir contribué réconforte courageux car belle mort faut beaucoup plus courage continuer vivre quitter vie cela supplie tous amis accorder sollicitude récompense sacrifice fils quitte criant face boche vive france pay adieu tous george bauge
"BAUDRY Jacques, Michel, Régis, Francis [dit Marchand]",spip.php?article161637&id_mot=10754,dernière lettre parent fresnes lundi février pauvres parent chéris va arracher cette vie donnée laquelle tenais tant infiniment dur chance savoir avant mourir courageux restez surtout petite maman embrasse tout pauvre coeur pauvres chéris accepté combat savez courageux jusqu bout guerre bientôt finie quand heureux paix peu grâce veux retourner douchy côté pépère mémère voulu vivre encore aimer beaucoup hélas peux surprise amère journaux mourrons pleine victoire exécution matin onze heures penserai nicole hélas beau projets avenir oublie non plus ni parent surtout vie continue profite jeunesse papa maman chéris tant aimé adieu étreins bien fort tous trois courage vivez embrasse plus tendrement vie adieu papa maman adieu nicole jacques vive france
"BAUDRY Robert, Armand",spip.php?article146266&id_mot=10754,petite mère chérie frères écris dernières ligne cellule main ferme pleurez mort vais rejoindre père chéri là haut éternité reçu aumônier militaire derniers sacrements vais âme forte vie très courte voulez destinée hommes tellement drôle embrassez toute famille oubliez cher abbé abbé faguier si fréquenté fond ur jamais réprouvé faisant fait cru agir bons français peut être trompés condamnés mort mieux vaut mort déshonneur si donne droit reprendre corp mettez père crois avoir mérité être malgré tout espère bien retrouver mère chérie monsieur abbé faites toujours impossible frères si peu vus verrai plus sortent jamais légalité dirai encore rien choses droites savez si bien quitte toujours embrassant loin tout meilleur malgré tout toujours vive france éternelle baudry robert croyez jamais grand parti lâche paresseux âme ur fermes devant mort vrai catholique attend résurrection
"BECK Robert, Louis [Pseudonyme : Raoul]",spip.php?article16077&id_mot=10754,dernière lettre robert beck enfants amis chers amis vais mourir demain matin demande instamment avoir aucune conversation sujet devant petits peuvent comprendre chagrin inutile mort impressionne nullement savais depuis toujours lutte exigeait sacrifice tous consentis sans hésiter vaut mieux perdre vie raisons vivre meurs elles certitude prochaine victoire courage confie petits peuple france laisse nom exemple honorables embrasse tous très fort adieu vive france robert beck février
